iter	Passed	Remaining
693	5189	2288
694	5196	2280
695	5203	2272
696	5211	2265
697	5219	2258
698	5228	2251
699	5235	2243
700	5242	2236
701	5249	2228
702	5256	2220
703	5263	2212
704	5270	2205
705	5276	2197
706	5283	2189
707	5291	2182
708	5298	2174
709	5306	2167
710	5313	2159
711	5320	2152
712	5326	2144
713	5333	2136
714	5341	2128
715	5347	2121
716	5355	2113
717	5361	2105
718	5369	2098
719	5375	2090
720	5382	2082
721	5391	2075
722	5398	2068
723	5405	2060
724	5412	2052
725	5419	2045
726	5426	2037
727	5433	2030
728	5440	2022
729	5447	2014
730	5454	2007
731	5461	1999
732	5468	1991
733	5475	1984
734	5481	1976
735	5489	1969
736	5497	1961
737	5505	1954
738	5512	1946
739	5520	1939
740	5527	1931
741	5535	1924
742	5542	1917
743	5550	1909
744	5557	1902
745	5564	1894
746	5571	1887
747	5578	1879
748	5587	1872
749	5595	1865
750	5603	1857
751	5610	1850
752	5617	1842
753	5624	1835
754	5632	1827
755	5639	1820
756	5646	1812
757	5653	1804
758	5660	1797
759	5667	1789
760	5673	1781
761	5681	1774
762	5688	1766
763	5695	1759
764	5702	1751
765	5716	1746
766	5723	1738
767	5730	1731
768	5737	1723
769	5744	1715
770	5751	1708
771	5757	1700
772	5764	1692
773	5771	1685
774	5778	1677
775	5785	1669
776	5791	1662
777	5799	1654
778	5806	1647
779	5813	1639
780	5820	1632
781	5827	1624
782	5834	1617
783	5841	1609
784	5848	1601
785	5855	1594
786	5862	1586
787	5868	1578
788	5875	1571
789	5882	1563
790	5888	1555
791	5896	1548
792	5904	1541
793	5911	1533
794	5918	1526
795	5926	1518
796	5933	1511
797	5939	1503
798	5946	1495
799	5953	1488
800	5960	1480
801	5967	1473
802	5974	1465
803	5981	1458
804	5987	1450
805	5995	1443
806	6001	1435
807	6009	1428
808	6016	1420
809	6023	1413
810	6030	1405
811	6036	1397
812	6044	1390
813	6050	1382
814	6057	1375
815	6064	1367
816	6071	1359
817	6079	1352
818	6087	1345
819	6094	1337
820	6101	1330
821	6108	1322
822	6115	1315
823	6122	1307
824	6129	1300
825	6136	1292
826	6143	1285
827	6149	1277
828	6157	1270
829	6164	1262
830	6172	1255
831	6178	1247
832	6185	1240
833	6192	1232
834	6199	1225
835	6206	1217
836	6213	1210
837	6220	1202
838	6227	1194
839	6233	1187
840	6240	1179
841	6247	1172
842	6254	1164
843	6261	1157
844	6268	1149
845	6275	1142
846	6282	1134
847	6289	1127
848	6296	1119
849	6304	1112
850	6311	1105
851	6318	1097
852	6325	1090
853	6332	1082
854	6339	1075
855	6346	1067
856	6354	1060
857	6361	1052
858	6368	1045
859	6375	1037
860	6381	1030
861	6389	1022
862	6395	1015
863	6403	1007
864	6410	1000
865	6418	993
866	6426	985
867	6433	978
868	6439	970
869	6446	963
870	6454	955
871	6460	948
872	6467	940
873	6473	933
874	6480	925
875	6487	918
876	6494	910
877	6501	903
878	6515	896
879	6522	889
880	6529	881
881	6536	874
882	6543	866
883	6550	859
884	6556	852
885	6563	844
886	6570	837
887	6577	829
888	6584	822
889	6591	814
890	6598	807
891	6605	799
892	6611	792
893	6618	784
894	6625	777
895	6633	769
896	6639	762
897	6647	755
898	6654	747
899	6661	740
