iter	Passed	Remaining
639	6938	3903
640	6948	3891
641	6959	3880
642	6969	3869
643	6979	3858
644	6990	3847
645	7000	3836
646	7010	3825
647	7021	3813
648	7031	3802
649	7041	3791
650	7051	3780
651	7061	3769
652	7071	3757
653	7081	3746
654	7092	3735
655	7102	3724
656	7112	3713
657	7123	3702
658	7133	3690
659	7143	3680
660	7153	3668
661	7164	3657
662	7174	3646
663	7185	3635
664	7195	3624
665	7206	3613
666	7216	3602
667	7226	3591
668	7237	3580
669	7246	3569
670	7257	3558
671	7268	3547
672	7278	3536
673	7288	3525
674	7299	3514
675	7308	3503
676	7319	3492
677	7329	3481
678	7339	3469
679	7350	3459
680	7361	3448
681	7370	3436
682	7381	3425
683	7391	3414
684	7402	3403
685	7413	3393
686	7425	3383
687	7436	3372
688	7447	3361
689	7458	3350
690	7468	3339
691	7478	3328
692	7488	3317
693	7498	3306
694	7509	3295
695	7519	3284
696	7529	3273
697	7539	3262
698	7549	3250
699	7559	3239
700	7569	3228
701	7579	3217
702	7589	3206
703	7599	3195
704	7609	3184
705	7620	3173
706	7631	3162
707	7645	3153
708	7655	3142
709	7666	3131
710	7676	3120
711	7686	3109
712	7696	3098
713	7707	3087
714	7717	3076
715	7727	3064
716	7737	3053
717	7747	3042
718	7757	3031
719	7767	3020
720	7778	3009
721	7788	2998
722	7798	2987
723	7808	2976
724	7819	2966
725	7829	2954
726	7839	2943
727	7850	2933
728	7860	2922
729	7870	2911
730	7881	2900
731	7891	2889
732	7901	2878
733	7911	2867
734	7921	2856
735	7931	2845
736	7941	2834
737	7952	2823
738	7962	2812
739	7972	2801
740	7983	2790
741	7993	2779
742	8003	2768
743	8013	2757
744	8023	2746
745	8033	2735
746	8043	2724
747	8053	2713
748	8063	2702
749	8073	2691
750	8083	2680
751	8094	2669
752	8105	2658
753	8115	2647
754	8125	2636
755	8135	2625
756	8145	2614
757	8156	2603
758	8166	2593
759	8177	2582
760	8187	2571
761	8238	2573
762	8250	2562
763	8262	2552
764	8273	2541
765	8283	2530
766	8292	2519
767	8302	2508
768	8313	2497
769	8323	2486
770	8334	2475
771	8344	2464
772	8354	2453
773	8364	2442
774	8375	2431
775	8384	2420
776	8395	2409
777	8407	2398
778	8418	2388
779	8430	2377
780	8442	2367
781	8452	2356
782	8462	2345
783	8473	2334
784	8483	2323
785	8493	2312
786	8504	2301
787	8514	2290
788	8524	2279
789	8534	2268
790	8545	2257
791	8555	2246
792	8565	2235
793	8576	2225
794	8586	2214
795	8596	2203
796	8607	2192
797	8617	2181
798	8628	2170
799	8638	2159
800	8649	2148
801	8659	2137
802	8669	2126
803	8679	2115
804	8689	2104
805	8700	2094
806	8710	2083
807	8720	2072
808	8730	2061
809	8741	2050
810	8751	2039
811	8761	2028
812	8772	2017
813	8782	2006
814	8792	1995
815	8803	1985
816	8813	1974
817	8824	1963
818	8834	1952
819	8844	1941
820	8854	1930
821	8865	1919
822	8875	1908
823	8885	1897
824	8895	1886
825	8906	1876
826	8916	1865
827	8926	1854
828	8936	1843
829	8946	1832
830	8956	1821
831	8967	1810
832	8977	1799
833	8988	1788
834	8998	1778
835	9008	1767
836	9018	1756
837	9029	1745
838	9039	1734
839	9049	1723
840	9060	1712
841	9070	1702
842	9080	1691
843	9091	1680
844	9101	1669
845	9112	1658
846	9122	1647
847	9132	1637
848	9143	1626
849	9154	1615
850	9164	1604
851	9174	1593
852	9184	1582
853	9195	1572
854	9205	1561
855	9215	1550
856	9226	1539
857	9236	1528
858	9247	1517
859	9257	1507
860	9267	1496
861	9277	1485
862	9288	1474
863	9298	1463
864	9308	1452
865	9318	1441
866	9328	1431
867	9339	1420
868	9349	1409
869	9359	1398
870	9370	1387
871	9380	1376
872	9390	1366
873	9402	1355
874	9413	1344
875	9425	1334
876	9436	1323
877	9446	1312
878	9456	1301
879	9466	1290
880	9476	1280
881	9486	1269
882	9496	1258
883	9507	1247
884	9517	1236
885	9527	1225
886	9538	1215
887	9548	1204
888	9558	1193
889	9568	1182
890	9579	1171
891	9589	1161
892	9600	1150
893	9610	1139
894	9621	1128
895	9631	1117
896	9640	1107
897	9651	1096
898	9661	1085
899	9671	1074
900	9682	1063
901	9693	1053
902	9703	1042
903	9713	1031
904	9724	1020
905	9734	1010
906	9745	999
907	9756	988
908	9766	977
909	9777	966
910	9787	956
911	9798	945
912	9808	934
913	9819	923
914	9829	913
915	9840	902
916	9850	891
917	9860	880
918	9871	870
919	9881	859
920	9892	848
921	9902	837
922	9913	826
923	9922	816
924	9933	805
925	9944	794
926	9954	783
927	9964	773
928	9975	762
929	9985	751
930	9995	740
931	10006	730
932	10016	719
933	10026	708
934	10037	697
935	10047	687
936	10057	676
937	10067	665
938	10078	654
939	10088	643
940	10098	633
941	10108	622
942	10119	611
943	10128	600
944	10139	590
945	10149	579
946	10159	568
947	10170	557
948	10180	547
949	10191	536
950	10201	525
951	10212	514
952	10222	504
953	10232	493
954	10243	482
955	10253	471
956	10263	461
957	10273	450
958	10283	439
959	10294	428
960	10304	418
961	10314	407
962	10325	396
963	10336	386
964	10347	375
965	10357	364
966	10367	353
967	10378	343
968	10389	332
969	10401	321
970	10412	310
971	10425	300
972	10436	289
973	10446	278
974	10457	268
975	10467	257
976	10477	246
977	10488	235
978	10498	225
979	10508	214
980	10518	203
981	10528	192
982	10539	182
983	10549	171
984	10559	160
985	10569	150
986	10579	139
987	10590	128
988	10599	117
989	10610	107
990	10620	96
991	10630	85
992	10640	75
993	10650	64
994	10660	53
995	10671	42
996	10681	32
997	10692	21
998	10701	10
999	10712	0
